size,default sort,quicksort,quick select,determanistic quick select
2,2045,584,1281,886
4,593,221,1212,1028
8,650,333,1667,1320
16,1841,515,3704,3219
32,2261,1299,7093,3715
64,5282,2133,11150,8506
128,10472,5233,24625,19312
256,22716,10025,31690,38225
512,49531,21221,71531,114187
1024,108092,45926,165117,139504
2048,236207,97365,191597,428193
4096,557727,224653,479372,816758
8192,1102029,448962,506861,641976
16384,2455266,1009916,889075,1400189
32768,5357834,2012618,2664187,2779493
65536,11108162,4318469,3392134,4184968
131072,23538229,9343150,11074758,9965480
262144,47806552,19461716,20670836,11262434
524288,99508749,39762575,37731356,48648128
1048576,206226803,84122660,58057604,70124662
2097152,430203395,175160711,134625209,127878428
4194304,905221816,361357100,244452217,248000670
8388608,1874500977,749571906,519240487,574733378
